year,hrs,count,site,species
2006,459.92,17,Bonney Butte,Falco sparverius
2005,392.92,9,Bonney Butte,Falco sparverius
2004,340.58,14,Bonney Butte,Falco sparverius
2003,402.42,19,Bonney Butte,Falco sparverius
2002,423.67,21,Bonney Butte,Falco sparverius
2001,415.75,23,Bonney Butte,Falco sparverius
2000,328.5,21,Bonney Butte,Falco sparverius
2023,1112.58,627,Hawk Mountain,Haliaeetus leucocephalus
2022,1075.92,591,Hawk Mountain,Haliaeetus leucocephalus
2021,1123.07,611,Hawk Mountain,Haliaeetus leucocephalus
2020,1084.6,559,Hawk Mountain,Haliaeetus leucocephalus
2019,1080.03,508,Hawk Mountain,Haliaeetus leucocephalus
2018,1027.02,552,Hawk Mountain,Haliaeetus leucocephalus
2017,1013.22,430,Hawk Mountain,Haliaeetus leucocephalus
2016,1137.5,522,Hawk Mountain,Haliaeetus leucocephalus
2015,1127.67,317,Hawk Mountain,Haliaeetus leucocephalus
2014,1102.03,419,Hawk Mountain,Haliaeetus leucocephalus
2013,1125.45,381,Hawk Mountain,Haliaeetus leucocephalus
2012,1108.2,358,Hawk Mountain,Haliaeetus leucocephalus
2011,1076.07,318,Hawk Mountain,Haliaeetus leucocephalus
2010,1087.1,409,Hawk Mountain,Haliaeetus leucocephalus
2009,1032.63,214,Hawk Mountain,Haliaeetus leucocephalus
2008,1082.32,255,Hawk Mountain,Haliaeetus leucocephalus
2007,1103.18,253,Hawk Mountain,Haliaeetus leucocephalus
2006,1114.82,202,Hawk Mountain,Haliaeetus leucocephalus
2005,1143.12,191,Hawk Mountain,Haliaeetus leucocephalus
2004,1079.95,218,Hawk Mountain,Haliaeetus leucocephalus
2003,1052.72,233,Hawk Mountain,Haliaeetus leucocephalus
2002,1039.05,248,Hawk Mountain,Haliaeetus leucocephalus
2001,1136.82,172,Hawk Mountain,Haliaeetus leucocephalus
2000,1125.43,174,Hawk Mountain,Haliaeetus leucocephalus
2023,714.3,14,Goshutes,Haliaeetus leucocephalus
2022,674.87,13,Goshutes,Haliaeetus leucocephalus
2021,672.13,8,Goshutes,Haliaeetus leucocephalus
2020,,,Goshutes,Haliaeetus leucocephalus
2019,662.6,15,Goshutes,Haliaeetus leucocephalus
2018,706.75,14,Goshutes,Haliaeetus leucocephalus
2017,697.75,14,Goshutes,Haliaeetus leucocephalus
2016,649.17,11,Goshutes,Haliaeetus leucocephalus
2015,616.25,15,Goshutes,Haliaeetus leucocephalus
2014,641.17,16,Goshutes,Haliaeetus leucocephalus
2013,563.83,15,Goshutes,Haliaeetus leucocephalus
2012,741.25,16,Goshutes,Haliaeetus leucocephalus
2011,682.03,10,Goshutes,Haliaeetus leucocephalus
2010,692.6,6,Goshutes,Haliaeetus leucocephalus
2009,733.58,6,Goshutes,Haliaeetus leucocephalus
2008,761.07,6,Goshutes,Haliaeetus leucocephalus
2007,747.97,10,Goshutes,Haliaeetus leucocephalus
2006,719.58,9,Goshutes,Haliaeetus leucocephalus
2005,695.3,11,Goshutes,Haliaeetus leucocephalus
2004,641.75,12,Goshutes,Haliaeetus leucocephalus
2003,688.25,9,Goshutes,Haliaeetus leucocephalus
2002,725.67,12,Goshutes,Haliaeetus leucocephalus
2001,787.33,8,Goshutes,Haliaeetus leucocephalus
2000,681.5,14,Goshutes,Haliaeetus leucocephalus
2023,900.62,824,Cape May,Haliaeetus leucocephalus
2022,896.25,1247,Cape May,Haliaeetus leucocephalus
2021,898,746,Cape May,Haliaeetus leucocephalus
2020,873.27,635,Cape May,Haliaeetus leucocephalus
2019,905.67,623,Cape May,Haliaeetus leucocephalus
2018,914.43,941,Cape May,Haliaeetus leucocephalus
2017,900.32,429,Cape May,Haliaeetus leucocephalus
2016,933.32,532,Cape May,Haliaeetus leucocephalus
2015,884.55,408,Cape May,Haliaeetus leucocephalus
2014,906.67,672,Cape May,Haliaeetus leucocephalus
2013,866.58,485,Cape May,Haliaeetus leucocephalus
2012,1092,316,Cape May,Haliaeetus leucocephalus
2011,800.53,426,Cape May,Haliaeetus leucocephalus
2010,882.25,506,Cape May,Haliaeetus leucocephalus
2009,869.2,476,Cape May,Haliaeetus leucocephalus
2008,808.5,285,Cape May,Haliaeetus leucocephalus
2007,882.17,278,Cape May,Haliaeetus leucocephalus
2006,743.58,334,Cape May,Haliaeetus leucocephalus
2005,832.5,262,Cape May,Haliaeetus leucocephalus
2004,857.43,210,Cape May,Haliaeetus leucocephalus
2003,896.52,178,Cape May,Haliaeetus leucocephalus
2002,895.8,182,Cape May,Haliaeetus leucocephalus
2001,822.8,229,Cape May,Haliaeetus leucocephalus
2000,859.33,131,Cape May,Haliaeetus leucocephalus
2023,564,178,Detroit River,Haliaeetus leucocephalus
2022,567.25,92,Detroit River,Haliaeetus leucocephalus
2021,546,83,Detroit River,Haliaeetus leucocephalus
2020,568,73,Detroit River,Haliaeetus leucocephalus
2019,575.25,107,Detroit River,Haliaeetus leucocephalus
2018,541.75,81,Detroit River,Haliaeetus leucocephalus
2017,636.75,238,Detroit River,Haliaeetus leucocephalus
2016,635.5,142,Detroit River,Haliaeetus leucocephalus
2015,648,219,Detroit River,Haliaeetus leucocephalus
2014,627.5,354,Detroit River,Haliaeetus leucocephalus
2013,642.5,350,Detroit River,Haliaeetus leucocephalus
2012,619,222,Detroit River,Haliaeetus leucocephalus
2011,591.5,235,Detroit River,Haliaeetus leucocephalus
2010,564.5,220,Detroit River,Haliaeetus leucocephalus
2009,519.42,118,Detroit River,Haliaeetus leucocephalus
2008,464.9,141,Detroit River,Haliaeetus leucocephalus
2007,598.5,211,Detroit River,Haliaeetus leucocephalus
2006,475.75,162,Detroit River,Haliaeetus leucocephalus
2005,456.25,116,Detroit River,Haliaeetus leucocephalus
2004,478.75,118,Detroit River,Haliaeetus leucocephalus
2003,545.33,147,Detroit River,Haliaeetus leucocephalus
2002,561.5,185,Detroit River,Haliaeetus leucocephalus
2001,526,115,Detroit River,Haliaeetus leucocephalus
2000,510.2,83,Detroit River,Haliaeetus leucocephalus
2023,682.5,10,Florida Keys,Haliaeetus leucocephalus
2022,866.5,16,Florida Keys,Haliaeetus leucocephalus
2021,904.25,16,Florida Keys,Haliaeetus leucocephalus
2020,455.25,23,Florida Keys,Haliaeetus leucocephalus
2019,409.25,4,Florida Keys,Haliaeetus leucocephalus
2018,409.75,20,Florida Keys,Haliaeetus leucocephalus
2017,25.75,0,Florida Keys,Haliaeetus leucocephalus
2016,428,16,Florida Keys,Haliaeetus leucocephalus
2015,298.25,46,Florida Keys,Haliaeetus leucocephalus
2014,444.75,34,Florida Keys,Haliaeetus leucocephalus
2013,362,9,Florida Keys,Haliaeetus leucocephalus
2012,414.5,22,Florida Keys,Haliaeetus leucocephalus
2011,420,12,Florida Keys,Haliaeetus leucocephalus
2010,297.5,22,Florida Keys,Haliaeetus leucocephalus
2009,,,Florida Keys,Haliaeetus leucocephalus
2008,348.75,0,Florida Keys,Haliaeetus leucocephalus
2007,361,16,Florida Keys,Haliaeetus leucocephalus
2006,385.25,16,Florida Keys,Haliaeetus leucocephalus
2005,329.5,0,Florida Keys,Haliaeetus leucocephalus
2004,403.17,0,Florida Keys,Haliaeetus leucocephalus
2003,462.5,15,Florida Keys,Haliaeetus leucocephalus
2002,479.25,21,Florida Keys,Haliaeetus leucocephalus
2001,459.5,19,Florida Keys,Haliaeetus leucocephalus
2000,495,14,Florida Keys,Haliaeetus leucocephalus
2023,963.97,4519,Hawk Ridge,Haliaeetus leucocephalus
2022,899.08,4279,Hawk Ridge,Haliaeetus leucocephalus
2021,904.67,4938,Hawk Ridge,Haliaeetus leucocephalus
2020,716.25,5300,Hawk Ridge,Haliaeetus leucocephalus
2019,859.42,6177,Hawk Ridge,Haliaeetus leucocephalus
2018,723.7,4603,Hawk Ridge,Haliaeetus leucocephalus
2017,721.18,6099,Hawk Ridge,Haliaeetus leucocephalus
2016,828,5925,Hawk Ridge,Haliaeetus leucocephalus
2015,804.33,5671,Hawk Ridge,Haliaeetus leucocephalus
2014,846.93,5055,Hawk Ridge,Haliaeetus leucocephalus
2013,830,4697,Hawk Ridge,Haliaeetus leucocephalus
2012,888.65,4804,Hawk Ridge,Haliaeetus leucocephalus
2011,961.4,5778,Hawk Ridge,Haliaeetus leucocephalus
2010,902.12,4437,Hawk Ridge,Haliaeetus leucocephalus
2009,908.27,3844,Hawk Ridge,Haliaeetus leucocephalus
2008,927.92,3238,Hawk Ridge,Haliaeetus leucocephalus
2007,784.1,3259,Hawk Ridge,Haliaeetus leucocephalus
2006,740,3221,Hawk Ridge,Haliaeetus leucocephalus
2005,756,4278,Hawk Ridge,Haliaeetus leucocephalus
2004,747.5,3529,Hawk Ridge,Haliaeetus leucocephalus
2003,798.5,3242,Hawk Ridge,Haliaeetus leucocephalus
2002,769.75,3754,Hawk Ridge,Haliaeetus leucocephalus
2001,774.5,3249,Hawk Ridge,Haliaeetus leucocephalus
2000,760.5,1881,Hawk Ridge,Haliaeetus leucocephalus
2023,797.42,9,Corpus Christi,Haliaeetus leucocephalus
2022,835.1,15,Corpus Christi,Haliaeetus leucocephalus
2021,849.83,5,Corpus Christi,Haliaeetus leucocephalus
2020,819.5,17,Corpus Christi,Haliaeetus leucocephalus
2019,852.75,21,Corpus Christi,Haliaeetus leucocephalus
2018,831.53,17,Corpus Christi,Haliaeetus leucocephalus
2017,828.25,13,Corpus Christi,Haliaeetus leucocephalus
2016,634,9,Corpus Christi,Haliaeetus leucocephalus
2015,597,14,Corpus Christi,Haliaeetus leucocephalus
2014,587,15,Corpus Christi,Haliaeetus leucocephalus
2013,595.75,6,Corpus Christi,Haliaeetus leucocephalus
2012,736.08,7,Corpus Christi,Haliaeetus leucocephalus
2011,693.25,10,Corpus Christi,Haliaeetus leucocephalus
2010,689.25,12,Corpus Christi,Haliaeetus leucocephalus
2009,688,1,Corpus Christi,Haliaeetus leucocephalus
2008,830.42,10,Corpus Christi,Haliaeetus leucocephalus
2007,798.75,7,Corpus Christi,Haliaeetus leucocephalus
2006,704.5,5,Corpus Christi,Haliaeetus leucocephalus
2005,715.75,4,Corpus Christi,Haliaeetus leucocephalus
2004,701,3,Corpus Christi,Haliaeetus leucocephalus
2003,643.5,1,Corpus Christi,Haliaeetus leucocephalus
2002,676.5,1,Corpus Christi,Haliaeetus leucocephalus
2001,723.5,2,Corpus Christi,Haliaeetus leucocephalus
2000,728.58,0,Corpus Christi,Haliaeetus leucocephalus
2023,,,Golden Gate,Haliaeetus leucocephalus
2022,410.75,20,Golden Gate,Haliaeetus leucocephalus
2021,299.67,9,Golden Gate,Haliaeetus leucocephalus
2020,443.62,19,Golden Gate,Haliaeetus leucocephalus
2019,,,Golden Gate,Haliaeetus leucocephalus
2018,407.62,14,Golden Gate,Haliaeetus leucocephalus
2017,473.5,17,Golden Gate,Haliaeetus leucocephalus
2016,439.67,8,Golden Gate,Haliaeetus leucocephalus
2015,539.53,8,Golden Gate,Haliaeetus leucocephalus
2014,487.7,8,Golden Gate,Haliaeetus leucocephalus
2013,490.08,12,Golden Gate,Haliaeetus leucocephalus
2012,441.55,8,Golden Gate,Haliaeetus leucocephalus
2011,438.78,9,Golden Gate,Haliaeetus leucocephalus
2010,465.3,5,Golden Gate,Haliaeetus leucocephalus
2009,496.75,10,Golden Gate,Haliaeetus leucocephalus
2008,508.4,6,Golden Gate,Haliaeetus leucocephalus
2007,523.5,2,Golden Gate,Haliaeetus leucocephalus
2006,492.25,2,Golden Gate,Haliaeetus leucocephalus
2005,454.5,6,Golden Gate,Haliaeetus leucocephalus
2004,528.67,3,Golden Gate,Haliaeetus leucocephalus
2003,500.28,4,Golden Gate,Haliaeetus leucocephalus
2002,523.58,4,Golden Gate,Haliaeetus leucocephalus
2001,445.37,4,Golden Gate,Haliaeetus leucocephalus
2000,550.52,6,Golden Gate,Haliaeetus leucocephalus
2023,367,98,Bonney Butte,Haliaeetus leucocephalus
2022,468.17,84,Bonney Butte,Haliaeetus leucocephalus
2021,404.33,140,Bonney Butte,Haliaeetus leucocephalus
2020,,,Bonney Butte,Haliaeetus leucocephalus
2019,302.42,73,Bonney Butte,Haliaeetus leucocephalus
2018,394.17,147,Bonney Butte,Haliaeetus leucocephalus
2017,412.08,86,Bonney Butte,Haliaeetus leucocephalus
2016,293.75,83,Bonney Butte,Haliaeetus leucocephalus
2015,311.57,78,Bonney Butte,Haliaeetus leucocephalus
2014,351.57,38,Bonney Butte,Haliaeetus leucocephalus
2013,331.75,61,Bonney Butte,Haliaeetus leucocephalus
2012,451.45,48,Bonney Butte,Haliaeetus leucocephalus
2011,414.33,93,Bonney Butte,Haliaeetus leucocephalus
2010,421.42,68,Bonney Butte,Haliaeetus leucocephalus
2009,425.75,55,Bonney Butte,Haliaeetus leucocephalus
2008,481.83,46,Bonney Butte,Haliaeetus leucocephalus
2007,396,45,Bonney Butte,Haliaeetus leucocephalus
2006,459.92,44,Bonney Butte,Haliaeetus leucocephalus
2005,392.92,55,Bonney Butte,Haliaeetus leucocephalus
2004,340.58,61,Bonney Butte,Haliaeetus leucocephalus
2003,402.42,68,Bonney Butte,Haliaeetus leucocephalus
2002,423.67,55,Bonney Butte,Haliaeetus leucocephalus
2001,415.75,52,Bonney Butte,Haliaeetus leucocephalus
2000,328.5,37,Bonney Butte,Haliaeetus leucocephalus
2023,1112.58,219,Hawk Mountain,Pandion haliaetus
2022,1075.92,219,Hawk Mountain,Pandion haliaetus
2021,1123.07,339,Hawk Mountain,Pandion haliaetus
2020,1084.6,288,Hawk Mountain,Pandion haliaetus
2019,1080.03,291,Hawk Mountain,Pandion haliaetus
2018,1027.02,338,Hawk Mountain,Pandion haliaetus
2017,1013.22,277,Hawk Mountain,Pandion haliaetus
2016,1137.5,349,Hawk Mountain,Pandion haliaetus
2015,1127.67,338,Hawk Mountain,Pandion haliaetus
2014,1102.03,467,Hawk Mountain,Pandion haliaetus
2013,1125.45,396,Hawk Mountain,Pandion haliaetus
2012,1108.2,575,Hawk Mountain,Pandion haliaetus
2011,1076.07,464,Hawk Mountain,Pandion haliaetus
2010,1087.1,659,Hawk Mountain,Pandion haliaetus
2009,1032.63,454,Hawk Mountain,Pandion haliaetus
2008,1082.32,474,Hawk Mountain,Pandion haliaetus
2007,1103.18,718,Hawk Mountain,Pandion haliaetus
2006,1114.82,675,Hawk Mountain,Pandion haliaetus
2005,1143.12,480,Hawk Mountain,Pandion haliaetus
2004,1079.95,672,Hawk Mountain,Pandion haliaetus
2003,1052.72,680,Hawk Mountain,Pandion haliaetus
2002,1039.05,706,Hawk Mountain,Pandion haliaetus
2001,1136.82,573,Hawk Mountain,Pandion haliaetus
2000,1125.43,493,Hawk Mountain,Pandion haliaetus
2023,714.3,115,Goshutes,Pandion haliaetus
2022,674.87,199,Goshutes,Pandion haliaetus
2021,672.13,74,Goshutes,Pandion haliaetus
2020,,,Goshutes,Pandion haliaetus
2019,662.6,61,Goshutes,Pandion haliaetus
2018,706.75,142,Goshutes,Pandion haliaetus
2017,697.75,88,Goshutes,Pandion haliaetus
2016,649.17,54,Goshutes,Pandion haliaetus
2015,616.25,162,Goshutes,Pandion haliaetus
2014,641.17,125,Goshutes,Pandion haliaetus
2013,563.83,117,Goshutes,Pandion haliaetus
2012,741.25,95,Goshutes,Pandion haliaetus
2011,682.03,129,Goshutes,Pandion haliaetus
2010,692.6,126,Goshutes,Pandion haliaetus
2009,733.58,59,Goshutes,Pandion haliaetus
2008,761.07,89,Goshutes,Pandion haliaetus
2007,747.97,113,Goshutes,Pandion haliaetus
2006,719.58,68,Goshutes,Pandion haliaetus
2005,695.3,83,Goshutes,Pandion haliaetus
2004,641.75,120,Goshutes,Pandion haliaetus
2003,688.25,96,Goshutes,Pandion haliaetus
2002,725.67,83,Goshutes,Pandion haliaetus
2001,787.33,152,Goshutes,Pandion haliaetus
2000,681.5,152,Goshutes,Pandion haliaetus
2023,900.62,4000,Cape May,Pandion haliaetus
2022,896.25,4890,Cape May,Pandion haliaetus
2021,898,3723,Cape May,Pandion haliaetus
2020,873.27,4081,Cape May,Pandion haliaetus
2019,905.67,4870,Cape May,Pandion haliaetus
2018,914.43,6027,Cape May,Pandion haliaetus
2017,900.32,2725,Cape May,Pandion haliaetus
2016,933.32,4261,Cape May,Pandion haliaetus
2015,884.55,3345,Cape May,Pandion haliaetus
2014,906.67,3817,Cape May,Pandion haliaetus
2013,866.58,3029,Cape May,Pandion haliaetus
2012,1092,2769,Cape May,Pandion haliaetus
2011,800.53,2628,Cape May,Pandion haliaetus
2010,882.25,4576,Cape May,Pandion haliaetus
2009,869.2,2603,Cape May,Pandion haliaetus
2008,808.5,1010,Cape May,Pandion haliaetus
2007,882.17,1656,Cape May,Pandion haliaetus
2006,743.58,2508,Cape May,Pandion haliaetus
2005,832.5,2447,Cape May,Pandion haliaetus
2004,857.43,1912,Cape May,Pandion haliaetus
2003,896.52,1975,Cape May,Pandion haliaetus
2002,895.8,2038,Cape May,Pandion haliaetus
2001,822.8,1643,Cape May,Pandion haliaetus
2000,859.33,1904,Cape May,Pandion haliaetus
2023,564,53,Detroit River,Pandion haliaetus
2022,567.25,18,Detroit River,Pandion haliaetus
2021,546,26,Detroit River,Pandion haliaetus
2020,568,31,Detroit River,Pandion haliaetus
2019,575.25,41,Detroit River,Pandion haliaetus
2018,541.75,38,Detroit River,Pandion haliaetus
2017,636.75,34,Detroit River,Pandion haliaetus
2016,635.5,23,Detroit River,Pandion haliaetus
2015,648,81,Detroit River,Pandion haliaetus
2014,627.5,56,Detroit River,Pandion haliaetus
2013,642.5,71,Detroit River,Pandion haliaetus
2012,619,70,Detroit River,Pandion haliaetus
2011,591.5,85,Detroit River,Pandion haliaetus
2010,564.5,63,Detroit River,Pandion haliaetus
2009,519.42,46,Detroit River,Pandion haliaetus
2008,464.9,140,Detroit River,Pandion haliaetus
2007,598.5,195,Detroit River,Pandion haliaetus
2006,475.75,196,Detroit River,Pandion haliaetus
2005,456.25,218,Detroit River,Pandion haliaetus
2004,478.75,201,Detroit River,Pandion haliaetus
2003,545.33,234,Detroit River,Pandion haliaetus
2002,561.5,238,Detroit River,Pandion haliaetus
2001,526,213,Detroit River,Pandion haliaetus
2000,510.2,133,Detroit River,Pandion haliaetus
2023,682.5,2848,Florida Keys,Pandion haliaetus
2022,866.5,3248,Florida Keys,Pandion haliaetus
2021,904.25,3744,Florida Keys,Pandion haliaetus
2020,455.25,2710,Florida Keys,Pandion haliaetus
2019,409.25,2250,Florida Keys,Pandion haliaetus
2018,409.75,2992,Florida Keys,Pandion haliaetus
2017,25.75,42,Florida Keys,Pandion haliaetus
2016,428,2206,Florida Keys,Pandion haliaetus
2015,298.25,1653,Florida Keys,Pandion haliaetus
2014,444.75,3635,Florida Keys,Pandion haliaetus
2013,362,1529,Florida Keys,Pandion haliaetus
2012,414.5,1454,Florida Keys,Pandion haliaetus
2011,420,1035,Florida Keys,Pandion haliaetus
2010,297.5,453,Florida Keys,Pandion haliaetus
2009,,,Florida Keys,Pandion haliaetus
2008,348.75,962,Florida Keys,Pandion haliaetus
2007,361,1139,Florida Keys,Pandion haliaetus
2006,385.25,1050,Florida Keys,Pandion haliaetus
2005,329.5,1057,Florida Keys,Pandion haliaetus
2004,403.17,925,Florida Keys,Pandion haliaetus
2003,462.5,1431,Florida Keys,Pandion haliaetus
2002,479.25,1652,Florida Keys,Pandion haliaetus
2001,459.5,983,Florida Keys,Pandion haliaetus
2000,495,1093,Florida Keys,Pandion haliaetus
2023,963.97,259,Hawk Ridge,Pandion haliaetus
2022,899.08,124,Hawk Ridge,Pandion haliaetus
2021,904.67,178,Hawk Ridge,Pandion haliaetus
2020,716.25,144,Hawk Ridge,Pandion haliaetus
2019,859.42,201,Hawk Ridge,Pandion haliaetus
2018,723.7,199,Hawk Ridge,Pandion haliaetus
2017,721.18,279,Hawk Ridge,Pandion haliaetus
2016,828,396,Hawk Ridge,Pandion haliaetus
2015,804.33,237,Hawk Ridge,Pandion haliaetus
2014,846.93,228,Hawk Ridge,Pandion haliaetus
2013,830,277,Hawk Ridge,Pandion haliaetus
2012,888.65,149,Hawk Ridge,Pandion haliaetus
2011,961.4,338,Hawk Ridge,Pandion haliaetus
2010,902.12,240,Hawk Ridge,Pandion haliaetus
2009,908.27,351,Hawk Ridge,Pandion haliaetus
2008,927.92,238,Hawk Ridge,Pandion haliaetus
2007,784.1,196,Hawk Ridge,Pandion haliaetus
2006,740,153,Hawk Ridge,Pandion haliaetus
2005,756,539,Hawk Ridge,Pandion haliaetus
2004,747.5,365,Hawk Ridge,Pandion haliaetus
2003,798.5,293,Hawk Ridge,Pandion haliaetus
2002,769.75,522,Hawk Ridge,Pandion haliaetus
2001,774.5,381,Hawk Ridge,Pandion haliaetus
2000,760.5,309,Hawk Ridge,Pandion haliaetus
2023,797.42,405,Corpus Christi,Pandion haliaetus
2022,835.1,208,Corpus Christi,Pandion haliaetus
2021,849.83,186,Corpus Christi,Pandion haliaetus
2020,819.5,193,Corpus Christi,Pandion haliaetus
2019,852.75,278,Corpus Christi,Pandion haliaetus
2018,831.53,187,Corpus Christi,Pandion haliaetus
2017,828.25,138,Corpus Christi,Pandion haliaetus
2016,634,189,Corpus Christi,Pandion haliaetus
2015,597,183,Corpus Christi,Pandion haliaetus
2014,587,211,Corpus Christi,Pandion haliaetus
2013,595.75,281,Corpus Christi,Pandion haliaetus
2012,736.08,256,Corpus Christi,Pandion haliaetus
2011,693.25,351,Corpus Christi,Pandion haliaetus
2010,689.25,182,Corpus Christi,Pandion haliaetus
2009,688,256,Corpus Christi,Pandion haliaetus
2008,830.42,197,Corpus Christi,Pandion haliaetus
2007,798.75,237,Corpus Christi,Pandion haliaetus
2006,704.5,321,Corpus Christi,Pandion haliaetus
2005,715.75,241,Corpus Christi,Pandion haliaetus
2004,701,207,Corpus Christi,Pandion haliaetus
2003,643.5,199,Corpus Christi,Pandion haliaetus
2002,676.5,146,Corpus Christi,Pandion haliaetus
2001,723.5,114,Corpus Christi,Pandion haliaetus
2000,728.58,88,Corpus Christi,Pandion haliaetus
2023,,,Golden Gate,Pandion haliaetus
2022,410.75,41,Golden Gate,Pandion haliaetus
2021,299.67,58,Golden Gate,Pandion haliaetus
2020,443.62,59,Golden Gate,Pandion haliaetus
2019,,,Golden Gate,Pandion haliaetus
2018,407.62,67,Golden Gate,Pandion haliaetus
2017,473.5,63,Golden Gate,Pandion haliaetus
2016,439.67,64,Golden Gate,Pandion haliaetus
2015,539.53,83,Golden Gate,Pandion haliaetus
2014,487.7,79,Golden Gate,Pandion haliaetus
2013,490.08,54,Golden Gate,Pandion haliaetus
2012,441.55,62,Golden Gate,Pandion haliaetus
2011,438.78,57,Golden Gate,Pandion haliaetus
2010,465.3,55,Golden Gate,Pandion haliaetus
2009,496.75,81,Golden Gate,Pandion haliaetus
2008,508.4,88,Golden Gate,Pandion haliaetus
2007,523.5,90,Golden Gate,Pandion haliaetus
2006,492.25,108,Golden Gate,Pandion haliaetus
2005,454.5,110,Golden Gate,Pandion haliaetus
2004,528.67,123,Golden Gate,Pandion haliaetus
2003,500.28,134,Golden Gate,Pandion haliaetus
2002,523.58,106,Golden Gate,Pandion haliaetus
2001,445.37,71,Golden Gate,Pandion haliaetus
2000,550.52,138,Golden Gate,Pandion haliaetus
2023,893.6,832,Veracruz,Pandion haliaetus
2022,895.77,1132,Veracruz,Pandion haliaetus
2021,,,Veracruz,Pandion haliaetus
2020,,,Veracruz,Pandion haliaetus
2019,883.55,1284,Veracruz,Pandion haliaetus
2018,690.52,1534,Veracruz,Pandion haliaetus
2017,840.25,1586,Veracruz,Pandion haliaetus
2016,838.75,1304,Veracruz,Pandion haliaetus
2015,754.58,1446,Veracruz,Pandion haliaetus
2014,875.92,1449,Veracruz,Pandion haliaetus
2013,868.9,1534,Veracruz,Pandion haliaetus
2012,901.65,1711,Veracruz,Pandion haliaetus
2011,895.75,1691,Veracruz,Pandion haliaetus
2010,801.15,1455,Veracruz,Pandion haliaetus
2009,828.45,2133,Veracruz,Pandion haliaetus
2008,877.35,1633,Veracruz,Pandion haliaetus
2007,907.98,1752,Veracruz,Pandion haliaetus
2006,890.45,2797,Veracruz,Pandion haliaetus
2005,873.75,1823,Veracruz,Pandion haliaetus
2004,898.75,1476,Veracruz,Pandion haliaetus
2003,893.48,2035,Veracruz,Pandion haliaetus
2002,877.42,1895,Veracruz,Pandion haliaetus
2001,867.67,2502,Veracruz,Pandion haliaetus
2000,862.17,2301,Veracruz,Pandion haliaetus
2023,367,55,Bonney Butte,Pandion haliaetus
2022,468.17,93,Bonney Butte,Pandion haliaetus
2021,404.33,100,Bonney Butte,Pandion haliaetus
2020,,,Bonney Butte,Pandion haliaetus
2019,302.42,48,Bonney Butte,Pandion haliaetus
2018,394.17,87,Bonney Butte,Pandion haliaetus
2017,412.08,78,Bonney Butte,Pandion haliaetus
2016,293.75,66,Bonney Butte,Pandion haliaetus
2015,311.57,67,Bonney Butte,Pandion haliaetus
2014,351.57,53,Bonney Butte,Pandion haliaetus
2013,331.75,58,Bonney Butte,Pandion haliaetus
2012,451.45,121,Bonney Butte,Pandion haliaetus
2011,414.33,72,Bonney Butte,Pandion haliaetus
2010,421.42,81,Bonney Butte,Pandion haliaetus
2009,425.75,101,Bonney Butte,Pandion haliaetus
2008,481.83,70,Bonney Butte,Pandion haliaetus
2007,396,47,Bonney Butte,Pandion haliaetus
2006,459.92,38,Bonney Butte,Pandion haliaetus
2005,392.92,60,Bonney Butte,Pandion haliaetus
2004,340.58,70,Bonney Butte,Pandion haliaetus
2003,402.42,97,Bonney Butte,Pandion haliaetus
2002,423.67,50,Bonney Butte,Pandion haliaetus
2001,415.75,78,Bonney Butte,Pandion haliaetus
2000,328.5,107,Bonney Butte,Pandion haliaetus
